,Shutter B,Gain B,Mean Illumination B,Contrast B,Shutter I,Gain I,Mean Illumination I,Contrast I,numFeatures I,numMatches B-I,name I,FileLocation
0,520.0,16.0,96.73162760416668,245.0,1.0,16.0,0,0,0,0,csail03-08-15_1_0000.png,csail03-08-15_0/
1,520.0,16.0,96.73162760416668,245.0,12.0,16.0,10.846985677083333,40.0,6,0,csail03-08-15_1_0001.png,csail03-08-15_0/
2,520.0,16.0,96.73162760416668,245.0,23.0,16.0,13.316936848958335,72.0,12,16,csail03-08-15_1_0002.png,csail03-08-15_0/
3,520.0,16.0,96.73162760416668,245.0,33.0,16.0,15.559215494791667,102.0,18,5,csail03-08-15_1_0003.png,csail03-08-15_0/
4,520.0,16.0,96.73162760416668,245.0,44.0,16.0,18.02427734375,136.0,28,44,csail03-08-15_1_0004.png,csail03-08-15_0/
5,520.0,16.0,96.73162760416668,245.0,55.0,16.0,20.489423828125002,170.0,37,30,csail03-08-15_1_0005.png,csail03-08-15_0/
6,520.0,16.0,96.73162760416668,245.0,66.0,16.0,22.97467447916667,202.0,48,70,csail03-08-15_1_0006.png,csail03-08-15_0/
7,520.0,16.0,96.73162760416668,245.0,77.0,16.0,25.427363281250003,225.0,53,18,csail03-08-15_1_0007.png,csail03-08-15_0/
8,520.0,16.0,96.73162760416668,245.0,88.0,16.0,27.891780598958334,234.0,74,24,csail03-08-15_1_0008.png,csail03-08-15_0/
9,520.0,16.0,96.73162760416668,245.0,98.0,16.0,30.087874348958334,235.0,90,27,csail03-08-15_1_0009.png,csail03-08-15_0/
10,520.0,16.0,96.73162760416668,245.0,109.0,16.0,32.521259765625004,237.0,116,38,csail03-08-15_1_0010.png,csail03-08-15_0/
11,520.0,16.0,96.73162760416668,245.0,120.0,16.0,34.95186848958333,239.0,131,34,csail03-08-15_1_0011.png,csail03-08-15_0/
12,520.0,16.0,96.73162760416668,245.0,131.0,16.0,37.37788736979167,240.0,141,30,csail03-08-15_1_0012.png,csail03-08-15_0/
13,520.0,16.0,96.73162760416668,245.0,142.0,16.0,39.770208333333336,241.0,150,31,csail03-08-15_1_0013.png,csail03-08-15_0/
14,520.0,16.0,96.73162760416668,245.0,152.0,16.0,41.92875,243.0,164,34,csail03-08-15_1_0014.png,csail03-08-15_0/
15,520.0,16.0,96.73162760416668,245.0,163.0,16.0,44.248440755208335,244.0,176,41,csail03-08-15_1_0015.png,csail03-08-15_0/
16,520.0,16.0,96.73162760416668,245.0,174.0,16.0,46.637112630208335,246.0,199,51,csail03-08-15_1_0016.png,csail03-08-15_0/
17,520.0,16.0,96.73162760416668,245.0,185.0,16.0,48.98800455729167,247.0,214,60,csail03-08-15_1_0017.png,csail03-08-15_0/
18,520.0,16.0,96.73162760416668,245.0,196.0,16.0,51.33659830729167,247.0,235,69,csail03-08-15_1_0018.png,csail03-08-15_0/
19,520.0,16.0,96.73162760416668,245.0,207.0,16.0,53.64354817708334,247.0,254,65,csail03-08-15_1_0019.png,csail03-08-15_0/
20,520.0,16.0,96.73162760416668,245.0,217.0,16.0,55.71986002604167,247.0,268,82,csail03-08-15_1_0020.png,csail03-08-15_0/
21,520.0,16.0,96.73162760416668,245.0,228.0,16.0,58.00270182291667,247.0,287,87,csail03-08-15_1_0021.png,csail03-08-15_0/
22,520.0,16.0,96.73162760416668,245.0,239.0,16.0,60.322939453125,246.0,297,79,csail03-08-15_1_0022.png,csail03-08-15_0/
23,520.0,16.0,96.73162760416668,245.0,250.0,16.0,62.63149088541667,247.0,323,82,csail03-08-15_1_0023.png,csail03-08-15_0/
24,520.0,16.0,96.73162760416668,245.0,261.0,16.0,64.88545247395834,247.0,340,88,csail03-08-15_1_0024.png,csail03-08-15_0/
25,520.0,16.0,96.73162760416668,245.0,271.0,16.0,66.84957356770833,247.0,349,94,csail03-08-15_1_0025.png,csail03-08-15_0/
26,520.0,16.0,96.73162760416668,245.0,282.0,16.0,69.02122395833334,247.0,365,91,csail03-08-15_1_0026.png,csail03-08-15_0/
27,520.0,16.0,96.73162760416668,245.0,293.0,16.0,71.14621744791667,246.0,397,92,csail03-08-15_1_0027.png,csail03-08-15_0/
28,520.0,16.0,96.73162760416668,245.0,304.0,16.0,73.2620703125,246.0,401,102,csail03-08-15_1_0028.png,csail03-08-15_0/
29,520.0,16.0,96.73162760416668,245.0,315.0,16.0,75.36124674479167,246.0,430,116,csail03-08-15_1_0029.png,csail03-08-15_0/
30,520.0,16.0,96.73162760416668,245.0,325.0,16.0,77.24811197916667,246.0,459,109,csail03-08-15_1_0030.png,csail03-08-15_0/
31,520.0,16.0,96.73162760416668,245.0,336.0,16.0,79.29253580729167,246.0,486,124,csail03-08-15_1_0031.png,csail03-08-15_0/
32,520.0,16.0,96.73162760416668,245.0,347.0,16.0,81.29242838541667,246.0,486,117,csail03-08-15_1_0032.png,csail03-08-15_0/
33,520.0,16.0,96.73162760416668,245.0,358.0,16.0,83.27492838541667,246.0,508,117,csail03-08-15_1_0033.png,csail03-08-15_0/
34,520.0,16.0,96.73162760416668,245.0,369.0,16.0,85.23180664062501,246.0,504,129,csail03-08-15_1_0034.png,csail03-08-15_0/
35,520.0,16.0,96.73162760416668,245.0,380.0,16.0,87.11951822916667,246.0,522,166,csail03-08-15_1_0035.png,csail03-08-15_0/
36,520.0,16.0,96.73162760416668,245.0,390.0,16.0,88.85535481770835,246.0,540,152,csail03-08-15_1_0036.png,csail03-08-15_0/
37,520.0,16.0,96.73162760416668,245.0,401.0,16.0,90.72498697916667,246.0,543,153,csail03-08-15_1_0037.png,csail03-08-15_0/
38,520.0,16.0,96.73162760416668,245.0,412.0,16.0,92.49575520833334,245.0,566,142,csail03-08-15_1_0038.png,csail03-08-15_0/
39,520.0,16.0,96.73162760416668,245.0,423.0,16.0,94.26485677083333,246.0,580,150,csail03-08-15_1_0039.png,csail03-08-15_0/
40,520.0,16.0,96.73162760416668,245.0,434.0,16.0,96.07424153645835,245.0,586,190,csail03-08-15_1_0040.png,csail03-08-15_0/
41,520.0,16.0,96.73162760416668,245.0,444.0,16.0,97.60439778645834,246.0,614,179,csail03-08-15_1_0041.png,csail03-08-15_0/
42,520.0,16.0,96.73162760416668,245.0,455.0,16.0,99.30405598958335,246.0,641,168,csail03-08-15_1_0042.png,csail03-08-15_0/
43,520.0,16.0,96.73162760416668,245.0,466.0,16.0,100.98465820312501,245.0,635,199,csail03-08-15_1_0043.png,csail03-08-15_0/
44,520.0,16.0,96.73162760416668,245.0,477.0,16.0,102.60784830729168,246.0,669,171,csail03-08-15_1_0044.png,csail03-08-15_0/
